-131.23925|64.17675,-127.00325|65.163,-127.214|65.233,-125.590875|65.30925,-126.879375|66.7755,-127.303375|65.654125,-126.059125|65.338625,-128.4855|67.420625,-130.27225|66.6445,-126.134625|65.477,-8.008|0.0,-57.137625|0.16175,-56.150125|0.32825,-54.418125|0.534125,-56.85425|0.75075,-60.165|0.439,-65.705125|0.57875,-63.54|0.349625,-60.916625|0.407375,-61.266125|0.339625,-132.8275|70.55025,-132.17825|70.492,-132.320625|70.0895,-131.067625|69.539125,-131.498125|69.978,-132.4955|69.824,-134.482|71.526125,-132.327|71.2815,-132.625375|70.041625,-131.642625|70.80075,-140.070375|70.0115,-138.455625|68.978,-138.815|68.312375,-141.70725|70.254625,-138.88825|70.017875,-137.136125|69.525875,-141.458125|69.603125,-134.728875|69.4825,-137.28025|69.539625,-137.2985|68.59475,-131.702125|70.399,-133.10675|70.047625,-133.211875|71.480875,-132.116625|68.599625,-133.340125|70.9005,-133.684625|71.446625,-134.51925|70.448,-132.57475|69.675375,-140.598|70.9025,-133.125875|70.486625,
-130.079125|66.466,-124.8645|67.000375,-125.547375|66.81275,-126.76525|68.16825,-124.621|66.430875,-125.887|67.402875,-125.815875|67.1975,-125.88025|67.381,-126.225375|66.853375,-126.106|66.51775,-51.40425|0.47625,-9.009|0.0,-46.932875|0.395375,-44.042|0.28975,-48.108|0.252625,-49.44075|0.313,-56.068|0.258,-52.084125|0.521625,-51.129875|0.3645,-52.264125|0.287875,-129.780125|75.04425,-130.682|75.016375,-132.05375|75.151125,-130.629625|74.319625,-132.24975|74.85325,-129.839625|74.2175,-132.754625|75.7275,-131.315625|74.8415,-131.59025|74.932625,-127.42875|72.643875,-134.6005|74.00125,-134.5245|73.36225,-134.859125|74.401375,-135.278125|74.283125,-135.709125|74.320625,-133.020125|73.106875,-135.438125|74.0675,-130.569|71.6895,-134.116875|73.489625,-134.097875|73.926625,-131.232125|71.661625,-131.742125|71.688375,-132.857125|73.228875,-129.6155|71.206875,-130.54725|71.464625,-130.7415|71.30975,-130.3685|70.50325,-132.379|72.326875,-137.78925|71.59125,-132.1885|72.04175,
-132.39625|65.9,-126.012625|65.383,-125.658125|65.8945,-124.5285|65.327,-124.287625|65.03475,-125.6895|66.03275,-125.60175|66.164,-124.524625|65.56525,-126.8275|65.472,-124.72875|65.829,-46.79675|0.452875,-49.808375|0.31625,-11.011|0.0,-40.761|0.28225,-44.279375|0.319375,-47.40075|0.251375,-50.582625|0.219125,-48.989375|0.2785,-48.0075|0.306125,-50.183625|0.26825,-130.857375|70.26125,-130.928|70.9425,-131.682|70.478,-130.12825|69.46925,-131.727375|70.088,-131.388125|69.98375,-131.9275|70.8165,-131.289625|70.194,-131.562375|69.907,-132.09075|70.65225,-137.02425|69.911125,-136.24775|69.29425,-138.103625|69.293125,-139.251625|70.59275,-137.637875|69.986,-136.0135|69.03975,-137.17|69.1485,-133.600875|69.01225,-136.908125|69.80075,-137.711625|70.33025,-130.019375|69.3315,-132.4515|70.88,-129.712125|69.976,-130.37675|69.055,-131.8905|71.86,-131.715|71.22175,-131.025625|71.67125,-130.12375|70.40575,-136.6545|70.601375,-131.604875|70.6235,
-130.29375|65.074875,-128.41275|67.60325,-125.333125|66.1135,-123.658875|65.20025,-123.463|65.4765,-125.102|66.1605,-123.636875|64.543875,-123.115875|63.945875,-124.973375|64.6615,-124.148625|65.046,-39.586|0.204125,-43.915125|0.327875,-43.586625|0.364125,-7.007|0.0,-38.15525|0.263125,-39.971|0.229,-43.34225|0.260625,-42.560375|0.28625,-43.545875|0.300875,-42.8485|0.293,-128.579|70.03175,-129.19325|70.4125,-130.561625|69.821,-130.53225|69.78175,-130.5615|69.47025,-131.515|70.622375,-130.488375|71.119375,-129.18275|69.9045,-130.5945|70.506,-132.9115|71.95425,-137.001375|69.30375,-136.853125|68.9245,-137.692|69.85675,-140.5865|70.77975,-136.151375|69.26425,-137.946|70.026375,-137.034375|69.6565,-133.0965|68.659,-135.286875|68.78775,-136.858625|70.843125,-132.454875|71.99175,-130.557875|69.666,-130.008125|69.6035,-130.14925|70.01325,-129.913625|70.7565,-129.930625|70.0095,-129.5205|68.64425,-130.30975|71.15,-136.68475|69.680125,-129.63075|70.442375,
-130.523|65.517875,-126.435375|65.542875,-123.784125|65.14025,-123.1035|65.0695,-123.573375|65.297125,-123.341875|64.565875,-124.64475|66.265125,-123.833375|65.650875,-125.78575|65.793125,-123.638875|65.2995,-38.6085|0.6055,-39.697125|0.23975,-39.923875|0.53875,-37.29925|0.77575,-10.01|0.0,-38.628625|0.501,-38.668625|0.434,-38.8245|0.4355,-40.179875|0.58675,-39.34325|0.42675,-128.52375|68.6835,-129.515625|70.763125,-131.56025|71.44425,-131.054875|69.849125,-132.300875|70.96975,-130.45125|69.905,-130.5645|70.3905,-130.276125|69.5035,-131.815625|71.305375,-130.127|69.988,-135.143375|69.456375,-137.459125|69.315,-137.925625|70.09075,-138.8045|70.75875,-135.460125|68.97475,-138.61|70.261125,-137.450625|69.990125,-134.439875|69.723625,-136.82175|70.09375,-136.422125|68.88275,-130.068625|70.46975,-131.725875|71.20275,-130.01325|70.020625,-129.55025|69.6535,-128.472375|69.883,-129.50775|70.3705,-128.949625|69.161125,-129.119375|70.655875,-134.770625|70.297875,-128.527625|69.61975,
-129.155|65.5995,-126.50325|66.70575,-124.954375|66.42075,-125.59975|66.36525,-124.28625|64.7515,-125.3325|66.04425,-125.03625|66.02275,-124.27275|65.54775,-125.07225|65.668,-123.59125|65.1445,-40.886375|0.97425,-42.100375|1.204,-42.8175|1.10275,-39.99775|1.01825,-41.054|0.9875,-10.01|0.0,-41.6305|0.93225,-41.14275|1.0725,-41.920375|1.0145,-40.306625|0.737,-130.772125|70.75775,-129.768|70.6755,-132.05275|71.655,-128.699375|69.591,-130.098125|69.2885,-129.688375|69.6895,-131.60175|70.026,-131.65075|70.76825,-131.0|70.72125,-128.90125|69.32075,-137.460125|69.01275,-136.90625|70.2195,-136.439625|70.15175,-136.31025|69.7315,-137.721125|69.18825,-137.862|70.593,-136.883625|69.39025,-135.352|70.3885,-136.354125|70.52275,-135.921|69.1675,-132.5425|71.557,-128.87225|69.8695,-130.079|71.865,-129.71625|69.747,-129.1245|69.73375,-129.26675|69.8915,-130.403875|70.03825,-131.32425|71.94025,-136.98075|71.297,-131.445375|71.10775,
-134.572875|65.46575,-129.75475|65.501125,-128.610875|65.01225,-129.7815|64.948875,-129.635|65.656125,-130.152375|66.417,-130.091875|65.431375,-128.180875|64.49475,-130.5735|66.222,-133.402375|67.33025,-38.062|0.129625,-36.8785|0.236375,-40.947|0.134125,-37.09325|0.199875,-40.650375|0.176375,-45.24325|0.21725,-11.011|0.0,-39.735375|0.12675,-38.62925|0.164125,-39.981375|0.299125,-135.675375|70.777125,-135.325375|71.427125,-134.70775|70.087125,-136.029625|71.55875,-136.66975|71.408625,-136.616375|71.439125,-135.783875|70.523,-135.5135|69.440375,-137.1585|70.5895,-135.319375|71.325625,-141.65075|69.757875,-140.152375|68.96325,-142.404|69.695875,-142.1145|69.973625,-141.734125|70.15825,-142.159375|69.54675,-142.22|69.645,-140.278125|70.158125,-142.084|69.01425,-139.269625|69.24925,-135.237125|70.016875,-135.34375|70.702625,-134.996625|70.097,-135.735375|70.036375,-135.313|70.282375,-134.82325|69.39225,-135.209625|70.9155,-134.88775|70.203125,-137.516|69.8875,-135.83775|71.98575,
-133.553375|66.146125,-128.262375|66.118375,-128.266625|66.418375,-128.95475|67.25125,-127.18825|66.22975,-127.9835|66.40975,-127.996125|65.53175,-128.1395|66.38275,-128.739875|65.77125,-128.437875|67.07625,-75.577875|0.2665,-70.7|0.367875,-78.34875|0.160125,-78.277375|0.286375,-76.224|0.379375,-68.815875|0.276125,-39.135875|0.235375,-9.009|0.0,-74.718125|0.22075,-66.426625|0.14925,-131.474|70.159375,-134.14725|71.253625,-134.310125|71.11475,-133.499625|71.52425,-131.521375|69.616625,-133.068|71.10725,-134.2365|71.005125,-133.768|72.143875,-134.0665|70.365375,-133.503625|69.981875,-138.050125|69.263125,-140.447125|70.95125,-141.57875|71.193375,-141.0705|70.238,-138.2045|69.187375,-139.19875|70.109875,-141.844625|70.891,-137.160125|70.7235,-140.4025|69.066875,-139.01125|71.1635,-128.866875|72.66975,-129.37625|72.12425,-130.783|73.8015,-129.513375|73.3455,-127.87925|71.829625,-128.4875|72.4185,-130.26525|72.2115,-131.5285|74.07175,-120.408875|61.86175,-128.7775|72.852125,
-134.533|66.356625,-129.599375|65.93025,-127.746125|66.41225,-127.744625|65.3415,-127.495875|65.38575,-128.326625|66.807,-129.1395|66.64325,-128.179375|65.9585,-130.07725|65.409125,-128.304125|66.3635,-69.027375|0.278375,-65.828125|0.42175,-71.8445|0.354125,-67.397375|0.405625,-73.432|0.22975,-73.161125|0.331875,-77.88675|0.4815,-75.7685|0.291625,-10.01|0.0,-69.97125|0.33925,-134.355625|71.27225,-131.707125|69.72775,-133.39775|70.266875,-134.97625|71.632375,-134.3415|70.869625,-133.379125|70.420625,-134.810875|70.827375,-134.491875|69.952125,-134.434625|71.18575,-132.417875|70.36375,-140.158375|69.82725,-139.194625|69.678375,-139.943375|68.538,-140.892375|70.02375,-139.84575|70.1785,-141.5305|70.90175,-141.939375|70.527125,-138.314125|70.614125,-137.590125|69.186625,-138.281375|69.9865,-135.103375|70.581,-134.691125|70.593,-135.971375|70.47725,-133.2655|69.19125,-134.904|71.009,-133.71425|69.982,-135.375875|70.95175,-133.5045|69.86775,-140.776625|70.25625,-135.40425|71.51475,
-118.6925|60.13925,-124.185875|69.04875,-123.525125|68.273,-123.783875|68.421875,-125.77425|69.623,-123.221625|68.554,-123.196125|67.899625,-126.162|68.900875,-124.608|68.31875,-121.92375|66.96975,-56.755625|0.376125,-57.58725|0.3805,-63.590875|0.483875,-62.391125|0.287875,-59.267|0.509,-62.58875|0.56225,-68.767|0.301,-64.445125|0.30025,-66.828875|0.297875,-8.008|0.0,-130.990625|70.905625,-131.818875|71.0855,-132.434375|70.843375,-132.31625|71.540875,-132.320125|70.466625,-132.221125|70.89075,-130.635625|69.78275,-132.589875|70.8915,-131.549125|70.50475,-130.821125|70.05825,-137.776|70.551,-138.279875|70.376625,-138.933375|70.871875,-140.14525|70.0675,-138.357|69.62375,-139.365625|69.546375,-139.425|70.4445,-135.75025|69.61725,-137.326375|70.428375,-136.523125|70.140625,-133.325375|71.84125,-132.507375|70.702625,-130.616|69.59525,-132.252375|70.33425,-131.805|71.02875,-132.531375|70.71775,-133.7295|70.330375,-132.7215|71.1795,-139.94275|71.644625,-133.680125|72.07675,
