-110.5535625|52.477125,-110.4714375|52.278625,-116.4141875|52.9988125,-117.134125|53.0751875,-117.455|53.18525,-115.753625|52.799125,-115.5855625|52.44775,-53.6364375|2.3558125,-62.320875|2.448,-47.439625|2.6091875,-8.004|0.0,-41.361|2.47775,-45.194|2.44375,-40.7131875|2.4826875,-115.8255625|60.5493125,-115.6884375|60.6243125,-117.4140625|61.5023125,-115.080375|60.982375,-114.6160625|61.16,-114.5209375|61.0565625,-115.13625|60.8055,-109.8274375|58.0714375,-111.5296875|59.21975,-111.1015625|59.292375,-111.641625|59.1753125,-111.5598125|59.9024375,-111.589375|59.909625,-109.98425|59.210875,-116.8616875|59.23175,-118.9090625|59.70975,-117.1364375|59.2413125,-116.629|58.29025,-114.10025|58.4146875,-110.9835625|53.38725,-117.474|59.37025,-122.515|60.6595625,-121.1460625|60.1649375,-123.0336875|61.224375,-115.13775|59.930375,-121.574|61.112375,-120.4700625|60.1535,-120.4291875|60.1786875,-120.73975|58.91625,-122.9663125|60.299,-121.3953125|59.897625,-121.18675|59.707375,-119.6893125|58.9313125,-121.006625|59.57625,-120.4629375|59.5381875,
-109.98125|51.123,-110.082|51.775625,-115.856|51.5723125,-117.173125|52.14925,-115.0265|51.601375,-114.141|51.712625,-116.716375|52.441125,-46.8750625|2.083125,-54.554625|1.7975625,-43.3389375|2.1955625,-49.0104375|2.07625,-9.0045|0.0,-39.2551875|2.0829375,-35.634|1.8694375,-115.5756875|59.597625,-114.949875|60.1600625,-114.9075|59.0175625,-117.231625|60.5170625,-115.882875|60.9240625,-116.0233125|60.3026875,-114.0776875|59.7828125,-117.083125|58.3574375,-118.0175|59.428625,-117.54675|58.0354375,-116.3836875|58.9488125,-116.9535625|59.6748125,-116.2863125|58.294625,-115.9820625|58.6371875,-119.31375|55.1695,-120.8673125|56.482875,-119.4466875|55.6999375,-119.9680625|56.6420625,-114.6151875|55.59525,-119.4329375|54.3635625,-120.36275|56.3959375,-120.5241875|59.1265625,-121.11825|59.5351875,-119.555|57.996,-116.5394375|59.768625,-120.264125|59.4710625,-121.1101875|59.98725,-120.298|59.5841875,-118.744125|59.977875,-111.072875|54.1636875,-119.96425|60.782375,-118.9525|60.611625,-118.2215|60.7110625,-118.7480625|60.1835,-119.3434375|61.5250625,
-110.196|51.059,-110.2995|52.036,-115.447875|51.7505,-116.0915|52.421375,-115.407375|51.1325,-115.827375|51.73,-116.213625|51.700375,-44.466875|3.5055,-53.064125|3.302375,-42.0375|3.290125,-46.5775|3.369625,-38.9405|3.030875,-11.0055|0.0,-35.027625|3.125625,-117.216625|60.43975,-114.76275|59.604875,-116.666375|59.13525,-117.558625|60.12275,-114.70175|59.268125,-115.41825|59.52,-115.088875|60.113625,-116.514875|57.984,-116.945|57.987625,-117.4175|57.80225,-114.926875|57.470375,-116.15725|58.291,-116.756875|58.21725,-115.402375|57.731,-120.791125|55.9665,-121.09875|55.986,-120.791625|57.00525,-119.876875|55.407125,-115.797375|55.887125,-120.44875|55.647875,-120.07875|56.577625,-119.917625|58.4635,-121.506375|59.5645,-122.3865|59.923875,-116.46175|59.444,-119.7525|59.19675,-120.843|59.68975,-120.55125|59.033375,-122.225375|59.462625,-123.659625|58.440625,-122.66075|58.939,-121.21975|57.79925,-121.046875|57.444625,-122.404625|58.020375,-121.1585|58.068625,
-108.30525|50.64275,-109.661625|51.604375,-114.113875|51.498875,-116.368875|52.28675,-114.427375|51.30575,-115.75825|51.831125,-114.696625|51.43175,-38.234625|2.896875,-44.4105|2.955,-38.29275|2.8735,-42.7655|3.111875,-36.1525|3.053625,-36.720125|2.653,-7.0035|0.0,-116.050875|60.574875,-115.731625|59.666875,-117.245375|60.78975,-115.80675|60.231375,-115.46875|60.099,-115.270125|59.918,-113.635875|59.502125,-116.476375|58.4,-117.742|57.91125,-118.702125|59.231125,-115.215375|57.413375,-115.685125|58.192125,-116.422375|58.363,-117.1545|59.400125,-119.211|55.706375,-120.534|55.758875,-120.867375|55.88725,-119.949375|56.137625,-116.286375|56.45825,-121.94975|56.089375,-120.3035|56.219,-119.072|58.737125,-119.682125|58.620375,-119.539375|58.502875,-115.069875|58.892625,-121.994125|59.20825,-120.256125|59.00825,-120.405625|59.546,-122.101375|58.876625,-121.21725|58.78575,-121.084625|58.376875,-119.97675|58.218875,-119.461|58.027125,-120.809375|58.046625,-122.44825|58.3695,
-108.2436875|50.5696875,-110.2806875|51.08075,-110.3665|50.8033125,-109.9011875|51.112375,-111.1915625|51.939625,-110.14775|51.237875,-110.5463125|51.2576875,-113.0315|56.1365625,-109.8115|55.81125,-115.9320625|55.404625,-115.123|55.706375,-116.9448125|55.9685,-115.818875|55.5825,-116.7143125|55.5240625,-10.005|0.0,-43.0401875|3.08875,-47.8708125|3.3459375,-47.1075625|3.3543125,-46.6618125|3.3125625,-46.976625|3.239,-46.9914375|3.223625,-122.2996875|58.295,-122.9876875|58.53475,-113.0393125|56.999125,-122.8654375|57.7749375,-123.2245625|57.7493125,-121.53025|57.87625,-122.4959375|57.49425,-118.7194375|55.79625,-119.418125|55.518375,-117.49725|54.94375,-124.1173125|55.891375,-117.6778125|55.235375,-118.6490625|55.5820625,-116.837625|54.7491875,-114.9884375|58.421625,-118.10525|59.0536875,-116.2151875|58.8755625,-117.166375|58.8024375,-115.3479375|57.8664375,-117.956875|58.5225625,-116.3430625|59.0436875,-117.4386875|57.7305,-117.27725|57.8128125,-118.288375|57.846375,-117.0166875|57.1211875,-117.3606875|58.1783125,-118.0693125|57.0851875,-114.6215|57.2473125,
-108.0726875|53.316,-110.5133125|53.7560625,-108.87|52.654,-110.1584375|53.742,-110.5991875|53.96475,-109.4924375|53.6148125,-110.531|54.177625,-112.432|56.5011875,-108.9969375|55.8389375,-115.621375|56.4928125,-115.421|56.02375,-116.0898125|55.734875,-115.934625|56.1381875,-116.5054375|56.198125,-43.5598125|3.327,-10.005|0.0,-43.4390625|2.9038125,-41.5668125|2.914625,-43.01725|3.1850625,-41.472625|2.8949375,-41.9486875|3.053,-120.4321875|57.5885625,-120.6593125|58.542125,-112.89475|58.2803125,-121.920125|58.536875,-121.553375|57.530875,-123.1281875|58.674125,-122.102375|58.411,-116.4888125|54.70625,-117.270625|55.908,-119.036|56.50975,-124.391625|57.11,-117.5038125|55.734125,-116.8475625|56.05925,-119.4563125|57.04925,-114.7153125|59.7826875,-116.152375|58.2818125,-116.5345|59.4021875,-116.080375|59.19375,-115.21025|58.504375,-116.2434375|59.381,-117.3968125|59.0785,-116.8243125|57.9625625,-116.6505625|58.01525,-116.4038125|57.908125,-117.0593125|58.376125,-117.301125|58.4576875,-116.29375|57.9228125,-114.650625|59.3309375,
-109.334875|50.8081875,-110.5496875|51.345125,-111.4453125|51.2544375,-110.586|51.87,-109.2733125|50.4453125,-109.9228125|50.9091875,-110.96275|50.96025,-101.2235|53.6643125,-87.9638125|44.409125,-103.671125|54.6464375,-104.155375|54.76575,-103.1465|54.22,-103.102625|54.727,-104.061625|54.9194375,-31.7550625|1.7581875,-31.603|1.7364375,-11.0055|0.0,-31.1165|1.7004375,-29.9171875|1.53525,-28.3998125|1.628,-30.7075|1.61375,-119.1090625|58.351125,-120.102|58.8308125,-116.2139375|58.8113125,-119.557625|58.1996875,-119.860375|58.2171875,-119.6801875|57.6545625,-120.156375|58.4956875,-111.76525|56.35975,-110.7288125|56.4256875,-111.7406875|56.6735,-104.9325625|48.2541875,-111.369375|56.5950625,-111.0808125|56.1285,-111.1724375|56.5563125,-114.7984375|58.6259375,-117.411375|58.9090625,-117.3901875|58.5420625,-116.13275|58.656375,-116.367375|58.583125,-115.738|57.9986875,-116.8201875|58.9870625,-117.924625|58.777875,-116.7041875|58.328625,-117.8129375|58.476,-118.58925|58.796625,-117.6486875|58.344625,-119.32075|59.3264375,-114.882|58.527375,
-112.7439375|51.8635625,-111.87375|51.2324375,-111.6735|50.4318125,-113.0161875|51.71175,-113.0200625|51.454375,-112.7303125|52.53425,-114.5891875|52.0311875,-115.8661875|56.310375,-112.7545|56.235125,-119.191|56.8079375,-117.5266875|56.0011875,-116.38425|55.5786875,-117.3635625|56.322875,-119.5228125|57.133,-64.9235|2.7685625,-63.68725|2.6895625,-37.2115|3.0605,-9.0045|0.0,-67.267|2.845375,-63.840375|2.57825,-68.8495|2.6241875,-124.178125|57.4840625,-125.235375|57.6043125,-117.61475|59.4390625,-125.6260625|58.5291875,-126.124625|57.99,-123.9459375|57.8325625,-125.7628125|59.0516875,-121.7976875|55.5135,-123.58225|56.7153125,-123.4078125|56.807875,-123.5506875|55.7896875,-121.0079375|56.2480625,-121.297875|55.474,-120.1736875|56.0895,-118.2554375|58.723375,-119.7056875|58.7995625,-120.0169375|58.8698125,-118.28425|58.3051875,-118.47075|58.371625,-118.592375|57.7783125,-119.5745|59.1289375,-119.2344375|58.445125,-118.7506875|58.4311875,-120.411625|57.6965,-121.2956875|58.4755625,-119.8409375|57.959375,-120.9033125|57.9359375,-117.12225|58.0395,
-110.209|51.2545,-110.6285|51.776,-111.909625|52.0893125,-110.537125|51.254875,-112.55375|52.4059375,-111.192875|51.77375,-112.637375|52.75875,-114.5104375|56.2960625,-113.1233125|57.2299375,-117.30925|56.229875,-117.67425|56.071375,-118.642625|56.7326875,-117.062875|55.9224375,-117.431|56.597625,-61.5181875|1.764125,-59.378125|2.0636875,-55.4755|1.780125,-59.895875|2.0218125,-10.005|0.0,-59.7619375|1.9221875,-62.2984375|2.0728125,-123.6793125|57.72675,-124.517625|58.4799375,-114.3439375|57.6279375,-124.404125|58.7818125,-123.2130625|58.0798125,-123.9815625|58.5291875,-124.4488125|58.071875,-119.7854375|56.84375,-120.051625|56.435625,-119.21875|55.40575,-124.667375|56.2443125,-119.7706875|56.976375,-120.7686875|56.635625,-119.3530625|56.9089375,-116.930125|59.664875,-117.515875|58.6595,-117.081|59.6286875,-118.1700625|59.40375,-116.5716875|58.9056875,-117.587625|59.557,-118.586375|58.9671875,-115.7684375|59.9345625,-115.935625|59.61525,-116.0825625|59.93925,-117.2855625|59.8895625,-115.997875|58.9871875,-115.486375|59.5439375,-102.0549375|49.785875,
-110.080625|51.7503125,-110.7006875|51.513125,-111.8905|52.2593125,-109.5885|51.723875,-110.9506875|51.645375,-110.7788125|52.0700625,-109.9181875|50.979625,-114.2974375|56.8775,-110.9816875|56.5855625,-117.6533125|56.118,-117.7755|56.298875,-116.9059375|56.049,-117.2019375|56.6900625,-115.884625|55.7921875,-53.992375|2.2845,-51.7556875|2.5045625,-55.7831875|2.375375,-58.44475|2.319875,-60.1738125|2.5196875,-8.004|0.0,-51.8034375|2.576,-121.4389375|58.0963125,-122.4056875|58.9648125,-113.5609375|58.7670625,-123.6975625|59.8495625,-122.9805|57.9040625,-123.2564375|57.7611875,-123.4874375|58.977375,-117.6639375|55.45675,-118.532625|55.193125,-118.6535625|55.3225,-123.9845625|55.4968125,-117.18825|55.2146875,-118.485875|55.870375,-118.1574375|55.28875,-101.452|50.379,-115.2263125|60.90325,-113.6043125|60.0653125,-114.427625|60.7995625,-114.1798125|59.969,-114.6954375|60.347875,-114.165375|60.0574375,-117.4710625|58.5976875,-118.579875|59.0616875,-119.3640625|58.9014375,-118.4536875|58.2958125,-117.815625|57.69625,-119.276375|58.5050625,-116.2621875|58.157875,
